No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
441,TF,1.587234358,2.49E-07,1.107,0.0000108
442,SCNN1A,1.274979049,2.54E-07,0.9671,0.2337
443,OR1L8,1.074338445,2.54E-07,0.8564,0.007415
444,TMEM252,1.11700048,2.55E-07,0.8888,0.0000448
445,AD000864.6,-0.577930034,2.57E-07,0,0
446,NUBPL,0.329387487,2.58E-07,0.7652,0.0009131
447,FAM122A,0.32176958,2.59E-07,0.7766,0.0002564
448,SOX8,0.953222196,2.63E-07,1.002,0.9663
449,TCF7L2,0.256999564,2.66E-07,0.732,0.0009776
450,TMEM35,1.223955282,2.69E-07,0.9308,0.0589
451,CTB-193M12.5,-0.459277044,2.70E-07,0,0
452,MBOAT7,-0.358505006,2.73E-07,2.166,7.71E-11
453,H2AFX,-0.527243655,2.73E-07,2.102,4.99E-14
454,MOCOS,-1.083078784,2.76E-07,1.276,4.82E-10
455,RP11-627G23.1,1.554286397,2.77E-07,0,0
456,OXGR1,1.346460232,2.78E-07,0.9864,0.6076
457,RRM2,-0.709422075,2.96E-07,1.248,0.0000267
458,CRHBP,1.039558989,2.98E-07,0.8677,0.0000472
459,SERPINE1,-1.036042963,2.98E-07,1.119,0.003504
460,PIF1,-0.748635438,2.99E-07,1.401,2.00E-09
461,SEMA3G,0.767284305,3.02E-07,0.7973,1.11E-08
462,MFSD6L,1.289039542,3.02E-07,1.011,0.7048
463,MIR155HG,-0.887386832,3.02E-07,1.166,0.0002942
464,TSHZ1,0.421626753,3.03E-07,0.8195,0.001948
465,OVCH2,1.581291017,3.05E-07,0.9912,0.7134
466,TSPYL1,0.391998861,3.06E-07,0.7503,0.00000817
467,GCOM1,1.255740337,3.12E-07,0.9918,0.8291
468,TMEM150C,0.586371625,3.13E-07,0.7076,1.50E-11
469,RIPK2,-0.423200684,3.15E-07,1.507,0.0000154
470,CNNM2,0.35160384,3.19E-07,0.7083,0.0000115
471,THRB-AS1,0.982133527,3.23E-07,0.9202,0.07779
472,AC006129.2,-0.681479081,3.24E-07,0,0
473,BSPRY,1.032488297,3.28E-07,0.8618,0.00000278
474,KIF11,-0.521977099,3.31E-07,1.335,0.0002259
475,IL23A,-0.552870782,3.36E-07,1.718,1.07E-10
476,ARHGAP24,0.438849297,3.37E-07,0.7817,0.00000742
477,PWAR5,0.902314231,3.37E-07,0.8868,0.001321
478,MIRLET7D,0.996270956,3.40E-07,0.9401,0.19
479,AC064850.4,-0.807060764,3.41E-07,0,0
480,LAG3,-1.036797472,3.42E-07,1.126,0.0005875
481,TRMT61B,0.288691974,3.47E-07,0.7566,0.000253
482,ADCY1,0.816587187,3.50E-07,0.8215,0.0000647
483,PCCA,0.482548985,3.58E-07,0.7697,0.0000015
484,SNRPA1,-0.283973086,3.64E-07,2.108,2.45E-08
485,ZBP1,-0.825800086,3.65E-07,1.174,0.0004187
486,AMD1,0.474224818,3.71E-07,0.7366,0.00000141
487,SLC1A5,-0.49272373,3.71E-07,1.495,0.0000107
488,HAUS8,-0.315994786,3.73E-07,1.961,5.59E-07
489,IL15RA,-0.474095447,3.75E-07,1.355,0.0002051
490,NEDD4L,0.671787396,3.75E-07,0.797,0.000596
491,FAM175A,0.464262808,3.78E-07,0.7447,0.00000175
492,IL18BP,-0.463655614,3.86E-07,1.179,0.02337
493,TRBV6-5,-0.986280745,3.88E-07,1.018,0.6276
494,LINC00944,-0.873847412,3.88E-07,1.114,0.002384
495,RP11-309M7.1,-1.003667486,3.90E-07,0,0
496,TRBV7-3,-1.023305179,3.94E-07,1.1,0.02177
497,TRBV27,-1.121685958,3.94E-07,1.094,0.02033
498,ZNF658,0.346294665,3.96E-07,0.7239,0.00000655
499,CTA-384D8.35,-0.795572981,4.00E-07,0,0
500,HNRNPA1P21,-0.830637637,4.03E-07,1.164,0.0007351
501,MPZL2,0.474557981,4.07E-07,0.8049,0.0001907
502,TRAV12-1,-1.004136562,4.09E-07,1.01,0.7984
503,CWH43,1.668578062,4.12E-07,0.9279,0.0009074
504,MTUS1,0.49440526,4.22E-07,0.8063,0.0006171
505,C16orf59,-0.646853125,4.33E-07,1.543,2.04E-10
506,FAM26F,-0.771413951,4.36E-07,1.102,0.0234
507,RNF180,0.687791465,4.47E-07,0.8381,0.0003348
508,DDIAS,-0.57153505,4.61E-07,1.321,0.0001936
509,TRMT5,0.277224806,4.63E-07,0.7654,0.001891
510,CLMP,-1.360912391,4.66E-07,1.162,4.31E-07
511,METTL14,0.256661964,4.67E-07,0.7259,0.0001231
512,SLAMF8,-0.748937058,4.78E-07,1.106,0.02389
513,ZNF549,0.447502276,4.82E-07,0.7943,0.0003364
514,TACC1,0.437168413,4.89E-07,0.7256,5.49E-07
515,CYP39A1,0.863325967,4.95E-07,0.9003,0.007334
516,CCDC71L,-0.524053188,5.01E-07,1.284,0.001733
517,LMNB2,-0.349139925,5.08E-07,1.522,0.0002886
518,DEPDC1,-0.714776849,5.10E-07,1.209,0.0002815
519,L1CAM,-1.456857423,5.13E-07,1.074,0.001312
520,TRAV21,-0.986809068,5.16E-07,0.9886,0.7735
521,VIPR1,0.835322925,5.16E-07,0.8327,0.0001693
522,RTP5,-1.036466597,5.18E-07,1.138,0.003137
523,MTHFD2,-0.521233161,5.23E-07,1.401,0.00000353
524,IL20RB,-1.476541643,5.24E-07,1.134,3.04E-08
525,SLC16A11,1.012321798,5.35E-07,0.886,0.008295
526,FCN2,1.165499827,5.41E-07,0.9066,0.008388
527,STAR,-1.007100305,5.41E-07,1.304,1.97E-07
528,RP11-344P13.6,-0.841305612,5.95E-07,0,0
529,CTD-2033A16.3,-0.746477694,5.97E-07,0,0
530,KDELC1,-0.474904579,5.97E-07,1.22,0.01061
531,CD38,-0.797486204,6.04E-07,1.087,0.08649
532,INPP5A,0.300004059,6.05E-07,0.7482,0.0004895
533,CCM2,-0.345146673,6.17E-07,1.659,0.0000253
534,SENP8,0.352817458,6.24E-07,0.6382,2.08E-07
535,GRHL3,1.076162145,6.29E-07,1.018,0.6727
536,MTFR2,-0.546925039,6.34E-07,1.496,9.36E-08
537,GBP5,-0.878495483,6.49E-07,1.081,0.03572
538,RP11-359E10.1,-0.729065456,6.51E-07,0,0
539,ZBTB4,0.242633055,6.62E-07,0.7692,0.001772
540,CCL13,-1.135038934,6.69E-07,1.163,0.0001105
541,DDX39A,-0.370174732,6.97E-07,1.813,5.46E-07
542,BASP1,-0.801186088,7.02E-07,1.361,2.41E-08
543,MFSD10,-0.41128956,7.08E-07,1.849,1.02E-07
544,LIMCH1,0.486908042,7.13E-07,0.6782,1.79E-09
545,LINC00864,1.539847214,7.25E-07,0.9829,0.5251
546,UHRF1,-0.625532975,7.33E-07,1.234,0.0001003
547,RHNO1,-0.323894092,7.34E-07,1.925,8.72E-08
548,FAM109A,-0.394795589,7.44E-07,1.559,0.0000801
549,TRAF6,0.288208379,7.45E-07,0.7385,0.0000846
550,CASKIN2,0.402953543,7.49E-07,0.7411,0.0000255
551,SAV1,0.348673512,7.51E-07,0.8028,0.004406
552,RP11-405F3.5,1.217156134,7.53E-07,0,0
553,SMOC1,1.414759158,7.58E-07,1.021,0.4356
554,RP11-563N4.1,-0.594771586,7.59E-07,0,0
555,PURG,0.717529716,7.60E-07,0.8468,0.005187
556,PTPN7,-0.698705333,7.67E-07,1.126,0.01895
557,KBTBD3,0.380265127,7.81E-07,0.6937,5.87E-07
558,ST8SIA5,1.018764031,7.86E-07,1.025,0.4841
559,ARPC1B,-0.443852396,8.00E-07,1.529,0.00000149
560,LL22NC03-N14H11.1,-0.994854303,8.17E-07,0,0
561,RP5-1028K7.2,-0.840083111,8.22E-07,0,0
562,WDR62,-0.59090232,8.30E-07,1.475,8.47E-08
563,PPP1R35,-0.485702473,8.31E-07,1.724,7.07E-08
564,ASF1B,-0.539455751,8.31E-07,1.225,0.001425
565,AURKA,-0.562120024,8.42E-07,1.479,6.23E-07
566,CTC-246B18.10,-0.737134218,8.47E-07,0,0
567,KIAA1211L,0.52467574,8.50E-07,0.7197,0.00000117
568,AC018816.3,-0.66839112,8.71E-07,0,0
569,ADH1C,1.289204518,8.71E-07,1.003,0.8871
570,TNFSF4,-0.469801127,8.72E-07,1.232,0.009245
571,MS4A2,0.760925207,8.79E-07,0.9161,0.008288
572,PYCARD,-0.643570518,8.81E-07,1.319,0.00000659
573,CKAP4,-0.446550504,8.83E-07,1.936,6.80E-11
574,DBH,-0.717621639,8.92E-07,1.132,0.01819
575,AC002456.2,-0.789502217,8.99E-07,0,0
576,ZNF649,0.415778811,9.17E-07,0.7557,0.0000156
577,MKRN3,-1.393455128,9.17E-07,1.096,0.01684
578,CDC14B,0.370317059,9.34E-07,0.7439,7.48E-07
579,RP11-124N2.1,0.622023571,9.40E-07,0,0
580,NIPAL1,0.839582293,9.42E-07,0.897,0.00746
581,IGLV2-14,-1.339568054,9.52E-07,1.061,0.03326
582,SYNJ2BP,0.399254296,9.54E-07,0.7635,0.0001169
583,MYDGF,-0.381940881,9.58E-07,1.383,0.001648
584,ALG1L7P,-0.908079404,9.60E-07,1.313,0.0000261
585,C19orf66,-0.357122197,9.60E-07,1.743,0.00000446
586,ZNF750,0.921761858,9.68E-07,0.8761,0.005574
587,CPXM2,0.954166869,9.90E-07,0.8902,0.006791
588,KCNN3,0.627094841,9.96E-07,0.7531,4.66E-10
589,MICB,-0.415961507,0.000001,1.235,0.00886
590,UFSP2,0.283026357,0.00000101,0.6927,0.00000572
591,APOBEC3D,-0.513877501,0.00000101,1.245,0.0009792
592,CDH4,1.158581426,0.00000102,0.9763,0.3256
593,LINC00869,-0.460353026,0.00000102,1.369,0.001028
594,NUMBL,-0.57976017,0.00000103,1.725,7.28E-14
595,PDE2A,0.623745905,0.00000104,0.7864,0.0000017
596,AC018647.3,0.527978874,0.00000104,0,0
597,CCDC85A,0.708529426,0.00000105,0.7782,2.91E-10
598,PRDM16,0.919755239,0.00000106,0.9143,0.008953
599,XCL1,-0.800567123,0.00000106,1.164,0.0006664
600,CTD-2095E4.5,-0.643649093,0.00000107,0,0
601,SPRY4-IT1,0.98806862,0.00000107,0.9368,0.1158
602,PHYHD1,0.931139089,0.00000107,0.972,0.435
603,GPR116,0.619511668,0.00000107,0.7625,6.91E-08
604,LINC01260,-0.840635473,0.00000108,1.244,0.00000313
605,RP11-106M3.1,-0.680121804,0.00000108,0,0
606,SLC9A2,1.477047773,0.00000111,1,0.9982
607,RP4-665J23.1,-0.700100017,0.00000113,0,0
608,ZBED2,-1.111351831,0.00000113,1.127,0.0007785
609,FAM35DP,-0.825451208,0.00000114,1.052,0.3031
610,FLNC,-1.123567427,0.00000115,1.177,0.0000127
611,ABCG2,0.692058229,0.00000116,0.7268,1.64E-11
612,XCL2,-0.765593639,0.00000116,1.138,0.003902
613,DTX2,-0.355825739,0.00000116,1.593,0.0000387
614,OSBPL1A,0.377591256,0.00000117,0.6721,1.02E-08
615,RP11-89H19.2,0.512698596,0.00000117,0,0
616,SRPX2,-1.111338216,0.00000117,1.226,1.70E-08
617,RNF215,-0.352212706,0.00000118,1.845,3.96E-07
618,RP11-1136G4.2,-0.93317971,0.00000118,0,0
619,GRM1,0.948535847,0.00000119,0.9619,0.2386
620,STAC3,-0.474145923,0.00000121,1.322,0.0000562
621,RP11-1008C21.1,-0.647786174,0.00000121,0,0
622,ARHGAP11B,-0.508027208,0.00000122,1.288,0.0001407
623,SNORD17,1.145142011,0.00000123,1.072,0.09609
624,TGM4,-1.079464392,0.00000123,1.382,1.72E-08
625,GNE,0.337904833,0.00000124,0.8214,0.0006226
626,TNIP2,-0.311806858,0.00000126,1.782,0.000032
627,HMGA1,-0.627888308,0.00000126,1.351,0.0000036
628,RPS6KA2,0.463303701,0.00000126,0.7422,5.23E-07
629,EHBP1,0.402013363,0.00000127,0.8102,0.0004272
630,DHX58,-0.338061463,0.00000128,1.648,0.0000417
631,AUH,0.487140991,0.00000128,0.7668,0.0000227
632,WDR20,0.26255682,0.0000013,0.8035,0.01234
633,RP1-309I22.2,0.881651079,0.00000131,0,0
634,ZDHHC18,-0.254726684,0.00000131,1.669,0.000217
635,CTA-384D8.36,-0.621881526,0.00000132,0,0
636,SCN4A,0.861877609,0.00000132,0.8228,0.00000123
637,CTD-2288O8.1,-0.677930001,0.00000133,0,0
638,THBS4,1.02140945,0.00000135,1.038,0.3838
639,HN1,-0.50095374,0.00000136,1.742,5.41E-12
640,RP11-185E8.2,-0.529409936,0.00000137,0,0
641,ACADSB,0.478100001,0.00000138,0.7506,1.82E-07
642,MYO1G,-0.611586543,0.00000139,1.094,0.05908
643,HS6ST2,1.196944461,0.00000139,1.025,0.2305
644,USP30-AS1,-0.711511997,0.00000142,1.104,0.04555
645,TRBV13,-1.184936104,0.00000143,1.058,0.1588
646,RP11-303E16.2,-0.542884728,0.00000146,0,0
647,SNCAIP,0.784109549,0.00000148,0.8748,0.01417
648,RP1-199J3.7,-0.661447455,0.00000149,0,0
649,VNN3,-0.939572655,0.0000015,1.144,0.002143
650,RP11-428G5.5,-0.983498829,0.0000015,0,0
651,CYP11A1,1.70189618,0.00000151,1.072,0.006738
652,FCGR1A,-0.675599145,0.00000151,1.159,0.001314
653,LNX1,0.555328003,0.00000152,0.8565,0.004097
654,PFDN2,-0.404556601,0.00000153,1.968,2.51E-08
655,MTND1P23,1.032169332,0.00000153,1.044,0.1975
656,CARS,-0.248290235,0.00000154,1.723,0.0000372
657,SPC24,-0.643982712,0.00000156,1.433,8.09E-09
658,FCGR1B,-0.623057393,0.00000156,1.23,0.0000863
659,EPAS1,0.506472847,0.0000016,0.7502,7.24E-08
660,FAM72A,-0.472645896,0.00000162,1.368,0.0001514
661,LINC01138,-0.506040383,0.00000163,1.468,0.00000244
662,RP11-689B22.2,-0.911879532,0.00000163,0,0
663,CCDC121,0.340569017,0.00000164,0.7474,0.000011
664,RP11-254A24.2,1.046151149,0.00000166,0,0
665,PDZD2,0.67123121,0.00000167,0.8015,0.00000114
666,HDHD2,0.27770698,0.00000167,0.8084,0.001287
667,ZC3H12C,0.380933079,0.00000167,0.7894,0.0000499
668,APOA1,1.320769686,0.00000168,1.044,0.2093
669,RP11-302B13.1,-0.593617195,0.00000168,0,0
670,ACAD11,0.715641148,0.00000172,0.8135,2.87E-07
671,BUB1B,-0.581723112,0.00000172,1.401,5.49E-07
672,SH2D2A,-0.72527848,0.00000173,1.203,0.0000608
673,TM4SF19,-1.04560129,0.00000176,1.233,2.47E-08
674,PINK1,0.361385784,0.00000177,0.7697,3.63E-07
675,PRRG2,0.834148002,0.00000179,0.944,0.1792
676,KLHL9,0.302390006,0.0000018,0.741,0.0000178
677,C2orf82,-0.804201991,0.0000018,1.247,0.0000318
678,RP11-500C11.3,-0.453194668,0.00000181,0,0
679,RP11-115D19.1,1.639705539,0.00000182,0,0
680,RORA,0.390041914,0.00000183,0.718,1.33E-07
681,NDRG2,0.542859753,0.00000184,0.806,0.0002134
682,GPHN,0.543474595,0.00000188,0.8068,0.0008868
683,DEPDC1B,-0.616423206,0.0000019,1.135,0.03832
684,RP11-362F19.1,0.974862203,0.00000192,0,0
685,TRAK2,0.27785354,0.00000193,0.7611,0.001884
686,ORC6,-0.573881506,0.00000194,1.537,1.10E-09
687,ZNF155,0.324786478,0.00000195,0.8039,0.002443
688,CCL5,-0.760466431,0.00000197,1.11,0.01276
689,ENAM,0.97543882,0.00000197,0.8592,2.93E-07
690,DHDH,0.988898367,0.000002,0.8603,0.00000262
691,TRIM59,-0.350240664,0.000002,1.301,0.004664
692,RP11-354E11.2,0.789045816,0.000002,0,0
693,SLC44A2,0.344796046,0.00000201,0.7963,0.004108
694,FANCI,-0.362669801,0.00000202,1.239,0.01229
695,OPHN1,0.382710315,0.00000205,0.8399,0.00598
696,STAP1,1.282649141,0.00000207,1.022,0.4199
697,PBK,-0.622257445,0.00000213,1.208,0.0008341
698,SLC22A1,-0.664405738,0.00000214,1.085,0.1339
699,CTD-2545H1.2,1.200864077,0.00000216,0,0
700,NOP2,-0.375923271,0.00000216,1.985,1.07E-10
701,PCED1B-AS1,-0.563222352,0.00000217,1.16,0.004405
702,INPP5J,0.995770535,0.00000218,0.9976,0.9336
703,DESI1,-0.31144312,0.00000218,1.91,0.00000712
704,PSRC1,-0.43209588,0.00000219,1.693,2.55E-08
705,SLC2A6,-0.499062239,0.0000022,1.658,1.96E-09
706,RP5-849H19.3,1.331636659,0.0000022,0,0
707,RP5-994D16.9,0.344159923,0.0000022,0,0
708,IGF2,1.226255302,0.00000221,1.005,0.8653
709,DFNA5,-0.523940848,0.00000223,1.242,0.004663
710,AC007743.1,0.618260409,0.00000226,0,0
711,RCN1,-0.364606037,0.00000226,1.548,0.0000316
712,SLA2,-0.65512224,0.00000227,1.086,0.05749
713,EXO1,-0.585799615,0.00000227,1.251,0.0003953
714,ACBD7,-0.60076781,0.0000023,1.109,0.07419
715,SRC,-0.327952388,0.00000232,1.566,0.0000787
716,IFITM4P,-0.760925409,0.00000233,1.149,0.007149
717,FRMPD2,0.746032828,0.00000234,0.7844,3.42E-08
718,DOCK9,0.482111179,0.00000234,0.7763,0.0000124
719,SIRPG,-0.854915305,0.00000236,1.074,0.03999
720,ITM2BP1,1.010647052,0.00000237,0.8753,0.003577
721,TONSL,-0.461264058,0.00000237,1.486,0.00000526
722,BAG1,0.413996811,0.00000238,0.7862,0.002051
723,ZNF426,0.381777413,0.00000238,0.7624,0.0001769
724,IL21R,-0.65430391,0.0000024,1.134,0.009771
725,RAD51,-0.471404746,0.00000247,1.258,0.002386
726,FGF12,0.650090503,0.00000248,0.7491,0.00000107
727,DENND2C,0.435967715,0.00000248,0.7576,0.0001965
728,RP6-91H8.3,-1.000413635,0.00000249,0,0
729,LRRC37A16P,0.34890525,0.0000025,0.7585,0.0002541
730,HCAR1,0.993976449,0.00000253,0.9953,0.9021
731,FBXW2,0.238770958,0.00000257,0.7943,0.006388
732,AC074212.5,-0.686457984,0.00000258,0,0
733,SAC3D1,-0.432742195,0.0000026,1.784,1.81E-08
734,TMTC1,0.523117144,0.00000261,0.783,5.87E-07
735,ZNF433,0.464806949,0.00000263,0.8184,0.0006524
736,GRAMD1C,0.550086485,0.0000027,0.7808,0.00000186
737,TFCP2L1,1.224878498,0.00000271,0.9805,0.3987
738,LINC00942,-1.443467654,0.00000272,1.193,8.49E-11
739,TIGIT,-0.781185032,0.00000274,1.103,0.01092
740,APOOL,0.37471283,0.00000277,0.7621,0.000018
741,KCNK15,1.280410055,0.00000281,1.054,0.08687
742,CTD-2357A8.3,-1.062136611,0.00000281,0,0
743,MTHFS,0.453941056,0.00000281,0.7322,7.32E-08
744,RP11-701H24.5,0.946994055,0.00000282,0,0
745,MCC,0.456978621,0.00000283,0.7904,0.0001519
746,CDT1,-0.548020168,0.00000285,1.191,0.003773
747,RP11-29H23.5,-0.552226598,0.00000288,0,0
748,AC006126.4,0.636250301,0.00000291,0,0
749,RP11-455O6.5,0.999707697,0.00000292,0,0
750,CDKL2,0.558837762,0.00000296,0.7575,1.05E-08
751,ERLIN2,0.306295437,0.00000296,0.7541,0.0002489
752,RAPGEF4,0.527344445,0.00000298,0.737,9.03E-09
753,SATB1,0.472019484,0.00000299,0.8584,0.01874
754,RP11-380L11.4,-0.601730822,0.00000299,0,0
755,CCNF,-0.43558941,0.00000301,1.8,1.78E-11
756,LRP8,-0.606727378,0.00000302,1.529,8.58E-11
757,CTD-2173L22.4,0.443618185,0.00000302,0,0
758,RP4-730K3.3,-0.468259719,0.00000302,0,0
759,CHPF2,-0.285915994,0.00000303,1.623,0.0001602
760,MEF2A,0.286116302,0.00000305,0.7961,0.000595
761,F11,1.22115439,0.00000306,0.9464,0.01866
762,CTA-963H5.5,-0.532195128,0.00000307,0,0
763,TMEM54,-0.555073094,0.00000308,1.248,0.002084
764,TTC24,-0.987209098,0.00000316,1.102,0.00854
765,KIF26A,0.727874383,0.00000317,0.891,0.005264
766,ARHGAP6,0.501259488,0.00000318,0.7475,0.0000411
767,AGPAT9,0.836196688,0.00000318,1.087,0.1295
768,PSME2P2,-0.423775996,0.00000322,1.598,0.00000147
769,KIR2DL4,-0.683339982,0.00000322,1.103,0.05073
770,PLCG2,0.677019011,0.00000323,0.8302,0.002783
771,DPP9,-0.357125855,0.00000326,1.268,0.01026
772,TENM2,-1.109723151,0.00000326,1.034,0.3151
773,AKT3,0.390959988,0.00000328,0.8052,0.0005559
774,PSMB9,-0.474668098,0.00000329,1.082,0.2067
775,DAB2IP,0.352694982,0.00000334,0.7523,0.0000288
776,NEIL3,-0.710357782,0.00000336,1.236,0.000016
777,MARVELD2,0.674134161,0.00000337,0.8802,0.002931
778,TCP11L2,0.381551577,0.00000337,0.8389,0.008874
779,EBI3,-0.576361676,0.00000341,1.174,0.003972
780,GPR98,0.727923346,0.00000345,0.8259,0.0000144
781,NCKAP5,0.551905073,0.00000346,0.7267,2.50E-08
782,RHEBL1,-0.435342708,0.00000347,1.368,0.0000796
783,RP4-584D14.7,-0.883260463,0.00000349,0,0
784,INPP4B,0.579767692,0.00000351,0.7667,0.0000173
785,BCL2L2,0.342096997,0.00000352,0.8368,0.006038
786,KIAA0101,-0.543472617,0.00000356,1.236,0.000693
787,VPREB3,-0.806257105,0.00000358,1.101,0.07792
788,TPPP,0.712344684,0.00000361,0.8402,0.0001305
789,FAM198B,0.573927975,0.00000365,0.8336,0.00104
790,GRM3,1.177152168,0.0000037,0.9109,0.01176
791,RBM20,0.521254661,0.00000372,0.7837,0.0005346
792,PLOD3,-0.356506792,0.00000373,1.245,0.02001
793,RP11-222K16.2,-0.746966394,0.00000374,0,0
794,PHEX,-0.735243966,0.00000375,1.075,0.1718
795,TFAP2E,-0.544334505,0.00000378,1.509,1.36E-08
796,GABRB2,1.070868389,0.00000383,0.9483,0.09509
797,MAML3,0.36312824,0.00000386,0.728,0.0000129
798,CD44,-0.623724824,0.0000039,1.33,0.00000969
799,C19orf40,-0.432235357,0.00000391,1.73,4.86E-09
800,GNG12-AS1,0.40788473,0.00000392,0.7638,0.0000154
801,PUS1,-0.361798962,0.00000393,2.057,1.45E-09
802,KDELR3,-0.713692708,0.00000394,1.433,1.90E-09
803,CTD-2554C21.2,0.806077202,0.00000396,0,0
804,C4orf48,-0.79740956,0.00000396,1.331,3.39E-08
805,DONSON,-0.381166537,0.00000398,2.085,1.43E-12
806,TGFBR2,0.442961523,0.000004,0.7834,0.00000348
807,PCMTD2,0.266831668,0.000004,0.8164,0.02072
808,FBF1,-0.572041711,0.00000403,1.771,1.37E-13
809,PPM1A,0.34624571,0.00000403,0.7429,0.0000662
810,CTD-3128G10.7,-1.040111151,0.00000404,0,0
811,ZCCHC14,0.301493945,0.00000408,0.8209,0.00517
812,TBX19,-0.446776951,0.00000409,1.325,0.0002094
813,TMCC3,0.465207422,0.00000411,0.7028,3.60E-09
814,OTOF,-0.705497638,0.00000415,1.351,2.82E-09
815,PTK2,0.208222741,0.00000416,0.7877,0.01494
816,CAPN14,1.011899236,0.00000421,0.9264,0.03465
817,XPOT,-0.315544151,0.00000423,1.447,0.0006774
818,SLC39A9,0.271257616,0.00000425,0.7594,0.0008638
819,PDCD5,-0.347890472,0.00000426,2.083,4.15E-09
820,MT2P1,-1.003555745,0.00000426,1.146,0.003398
821,RP4-742C19.12,-0.763046829,0.00000428,0,0
822,NKIRAS1,0.341751587,0.0000043,0.7391,0.0002426
823,ANGPTL1,1.039603398,0.00000441,0.9514,0.1055
824,ANKRD22,-0.937200875,0.00000442,1.115,0.01155
825,CH17-118O6.2,-0.461897462,0.00000444,1.388,0.0002018
826,RP11-150O12.1,-1.190770734,0.00000447,0,0
827,LPXN,-0.370239729,0.00000449,1.193,0.03079
828,PPAP2B,0.458877523,0.00000451,0.7366,4.59E-10
829,EPB41L4A,0.410397304,0.00000451,0.7517,5.93E-07
830,CSF1,-0.3954864,0.00000455,1.42,0.0000605
831,TM4SF4,1.21042698,0.00000456,1.038,0.2507
832,ANO5,1.225372425,0.00000457,0.9994,0.9813
833,CHMP3,0.232311847,0.00000457,0.7473,0.001112
834,SWT1,0.30042263,0.00000459,0.74,0.00008
835,GFI1,-0.65414618,0.00000459,1.108,0.03619
836,DERL3,-0.823194272,0.00000463,1.216,0.0000414
837,RP11-214N9.1,-0.624713785,0.00000463,0,0
838,GPRASP2,0.406842078,0.00000464,0.8012,0.0000344
839,HMGB2,-0.275282437,0.00000469,1.482,0.001094
840,ZADH2,0.26194453,0.00000471,0.8329,0.03536
841,TAP1,-0.39089218,0.00000472,1.1,0.1683
842,IGKV1-9,-1.242870357,0.00000472,1.069,0.01347
843,GDPD2,0.546744109,0.00000472,0.8822,0.0312
844,MEIS3P2,0.660127519,0.00000474,0.876,0.01037
845,FRY,0.444621377,0.00000479,0.8049,0.0002009
846,HAS2,-0.895838255,0.00000481,1.174,0.0001055
847,LHFPL4,1.245586177,0.00000491,1.007,0.8467
848,SLC25A22,-0.374993605,0.00000496,1.711,0.000003
849,RP11-49I11.4,-0.912173538,0.00000496,0,0
850,RP11-161M6.2,0.895766914,0.00000498,0,0
851,RP11-527N22.1,0.723743752,0.00000502,0,0
852,AGTR1,0.920070629,0.00000503,0.8456,3.21E-07
853,MPL,0.485361635,0.00000504,0.8769,0.02379
854,RP11-620J15.3,-0.411085584,0.00000507,0,0
855,AC007773.2,-0.60603916,0.00000511,0,0
856,STK32B,0.543573256,0.00000511,0.8038,2.03E-07
857,AARS,-0.276815028,0.00000512,1.152,0.1963
858,KAT7,0.189824838,0.00000516,0.8163,0.02891
859,NSUN7,0.742635335,0.00000521,0.8751,0.002754
860,LINC01060,1.089846648,0.00000521,0.9159,0.0006973
861,SEMA6D,0.62196521,0.00000524,0.8757,0.001572
862,AC156455.1,-0.714676726,0.00000526,0,0
863,FAM189A2,0.787325374,0.00000528,0.8828,0.02655
864,TOR3A,-0.302988406,0.00000528,1.755,0.0000155
865,FCER1G,-0.515923587,0.0000053,1.152,0.009601
866,RP3-393E18.2,-0.880170057,0.00000532,0,0
867,PSME2,-0.374564658,0.00000532,1.748,7.93E-07
868,DMXL1,0.369064361,0.00000534,0.7481,0.00000533
869,TOMM20,0.313104093,0.00000534,0.7236,0.0000416
870,FIRRE,-0.947922443,0.00000537,1.35,7.72E-13
871,SNRK,0.371482036,0.00000537,0.7638,0.0001078
872,FRMD3,0.551219491,0.00000542,0.7705,2.27E-08
873,EML1,0.331260951,0.00000547,0.769,0.0002507
874,RAD9A,-0.384773483,0.00000548,1.62,0.00000252
875,NIPAL3,0.346729854,0.0000055,0.7302,0.00000708
876,EMILIN2,-0.430213088,0.0000055,1.192,0.01062
877,LRRC70,0.577705768,0.00000551,0.8307,0.0000745
878,MEI1,-0.705989934,0.00000553,1.248,0.0001128
879,BID,-0.291850555,0.00000554,1.702,0.0000102
880,RP1-80N2.2,1.055753577,0.00000556,0,0
881,RANGAP1,-0.33723997,0.00000565,1.709,0.0000174
882,LIMD2,-0.547434975,0.00000566,1.29,0.0000435
883,REEP4,-0.357028317,0.00000567,1.788,4.18E-08
884,ICA1,0.472636682,0.00000568,0.7963,0.004072
885,MEGF9,0.400479301,0.00000568,0.7693,0.0000127
886,LINC01507,0.63062353,0.00000568,0.7995,1.01E-09
887,FKTN,0.297998516,0.00000572,0.778,0.001413
888,C2orf48,-0.71439669,0.00000575,1.248,0.0000267
889,IRF5,-0.397235069,0.00000583,1.326,0.002357
890,GNB1L,-0.365450896,0.00000588,1.671,0.00000939
891,POC1A,-0.445681974,0.00000588,1.673,2.72E-07
892,TRAF1,-0.474070512,0.0000059,1.258,0.0018
893,TMEM52B,0.994798493,0.00000591,0.9658,0.175
894,CCDC68,0.655944046,0.00000591,0.8817,0.01902
895,RP11-372K14.2,0.426795297,0.00000593,0,0
