No.,Gene,Log(FC),Adj-Pvalue,HR,Adj-Pvalue
294,TMPRSS2,1.579099353,3.74E-08,1.004,0.8431
295,NEK2,-0.764165711,3.76E-08,1.265,0.0000183
296,KRT87P,1.332789699,3.89E-08,0.9208,0.01926
297,KIF18B,-0.831391684,3.96E-08,1.293,1.44E-07
298,OACYLP,1.074642328,4.13E-08,1.064,0.09848
299,LINC01489,1.354599756,4.18E-08,0.9404,0.2715
300,LINC00982,1.442296316,4.30E-08,0.9707,0.1874
301,USH1G,1.584630997,4.33E-08,0.955,0.1796
302,IGFLR1,-0.703869179,4.42E-08,1.551,1.26E-11
303,CPZ,-1.391157263,4.43E-08,1.176,0.000032
304,KDF1,0.917103513,4.48E-08,0.8461,0.0000127
305,PLEKHA8P1,-0.472146604,4.52E-08,1.583,3.87E-07
306,MYT1,1.274679854,4.73E-08,0.9482,0.1535
307,RP1-159A19.4,-0.965838623,4.77E-08,0,0
308,HMMR,-0.733164608,4.78E-08,1.272,0.0001019
309,KLHL3,0.965700567,4.83E-08,0.9716,0.5347
310,LRRC61,-0.547069049,4.86E-08,1.373,0.0003136
311,S100A11,-0.5954163,4.93E-08,1.68,5.30E-10
312,RHOB,0.646819558,5.02E-08,0.7635,0.00000147
313,IGHG2,-1.413903596,5.11E-08,1.087,0.002266
314,PELI2,0.51661841,5.13E-08,0.7985,0.0000884
315,RP5-965G21.4,-0.946407769,5.16E-08,0,0
316,SLC4A9,1.573267008,5.24E-08,0.9868,0.573
317,PGM5,0.681878491,5.28E-08,0.8047,0.0000349
318,ANXA8L1,-1.22357237,5.38E-08,1.182,0.000045
319,RP11-1069G10.2,-0.839835607,5.40E-08,0,0
320,CALB2,-1.096554884,5.42E-08,1.217,0.00000443
321,ZNF483,0.787522604,5.45E-08,0.7817,0.000138
322,TYMP,-0.626912312,5.50E-08,1.189,0.00137
323,GPR171,-0.763247224,5.70E-08,1.137,0.01468
324,CDK1,-0.593201344,5.85E-08,1.433,0.00000439
325,CDS2,0.2965737,5.93E-08,0.7118,0.0002243
326,EMCN,0.75163911,6.00E-08,0.747,3.30E-12
327,TFAP2A-AS1,-1.260373441,6.17E-08,1.3,5.68E-11
328,ZNF304,0.341314516,6.19E-08,0.7281,0.000036
329,MARS,-0.326902743,6.39E-08,1.995,5.76E-08
330,TMEM30B,1.149711364,6.40E-08,0.9853,0.6483
331,CENPW,-0.59381282,6.48E-08,1.687,8.64E-11
332,KIAA0930,-0.398618711,6.50E-08,1.59,0.0000156
333,CTD-2575K13.6,-0.900390166,6.57E-08,0,0
334,SLC34A1,1.672052017,6.85E-08,0.9398,0.003009
335,STK32C,-0.474322967,7.19E-08,1.745,1.76E-07
336,MXD3,-0.716105843,7.27E-08,1.42,4.29E-09
337,TBC1D14,0.819482832,7.38E-08,0.8257,0.0002542
338,BHLHE40-AS1,-0.624542432,7.70E-08,1.084,0.226
339,CEP68,0.372787897,7.82E-08,0.7548,0.000096
340,NRG2,0.884289264,7.83E-08,0.8867,0.05308
341,MTTP,-1.64034935,7.86E-08,1.021,0.3857
342,CTLA4,-0.950169336,8.27E-08,1.142,0.0007514
343,SESTD1,0.420604498,8.28E-08,0.7906,0.0000668
344,CATSPER1,-0.683763466,8.34E-08,1.339,0.00000977
345,IRF4,-0.96505312,8.57E-08,1.329,0.01307
346,AC002454.1,-1.130823914,8.63E-08,0,0
347,PCK1,1.375294679,8.88E-08,0.891,2.24E-07
348,LINC00941,-1.206748403,8.96E-08,1.29,4.17E-10
349,ZNF583,0.468795296,8.97E-08,0.7411,0.00000139
350,ALDH6A1,0.683721385,9.22E-08,0.7903,2.18E-07
351,F5,1.474411238,9.39E-08,0.9679,0.2668
352,PCP4,1.942535038,9.39E-08,0.9774,0.276
353,RP11-35N6.1,1.648564745,9.41E-08,0,0
354,RP11-1246C19.1,-0.55272608,9.41E-08,0,0
355,POLQ,-0.69264168,9.56E-08,1.206,0.001072
356,BATF,-0.810625522,9.62E-08,1.17,0.0004922
357,CD19,-1.115511757,9.68E-08,1.161,0.000704
358,SST,1.985263082,9.82E-08,0.9564,0.03011
359,KIT,0.939110503,9.98E-08,0.8831,0.00403
360,PTPRB,0.672762898,1.02E-07,0.7237,2.07E-13
361,ZNF772,0.532272199,1.05E-07,0.8,0.0002148
362,AC092580.4,-0.725216291,1.05E-07,0,0
363,ASNS,-0.54473341,1.06E-07,1.596,7.86E-10
364,RP3-398G3.5,-1.048979096,1.06E-07,0,0
365,POLA2,-0.284946826,1.07E-07,1.442,0.007223
366,TEK,0.672688955,1.08E-07,0.7622,9.83E-11
367,GUSBP5,0.667625241,1.08E-07,0.8632,0.008397
368,DQX1,-1.423021653,1.09E-07,1.235,2.67E-10
369,SLCO2A1,0.728927421,1.13E-07,0.7891,1.10E-08
370,UBA7,-0.396915345,1.14E-07,1.443,0.0005058
371,MAPK8IP2,-1.04324645,1.14E-07,1.137,0.005004
372,KLF9,0.513391335,1.20E-07,0.7243,3.03E-08
373,TOB1,0.441188316,1.20E-07,0.8208,0.011
374,RARB,0.514331236,1.22E-07,0.7367,2.97E-07
375,CASP4,-0.346767751,1.22E-07,1.464,0.0001709
376,SLC45A4,0.442788985,1.23E-07,0.8226,0.002847
377,CDCA7,-0.775782271,1.24E-07,1.31,2.02E-07
378,RP11-255H23.2,0.830723265,1.26E-07,0,0
379,SYN3,0.643885417,1.27E-07,0.7847,0.00000623
380,HS3ST3A1,-1.474478134,1.30E-07,1.184,0.00000199
381,CDKN3,-0.68362201,1.30E-07,1.415,1.38E-07
382,AKAP6,0.628677826,1.32E-07,0.7122,5.92E-12
383,RP11-475O6.1,0.675793057,1.33E-07,0,0
384,UBE2QL1,1.137818543,1.35E-07,0.8766,0.0004277
385,LINC00158,-1.091158317,1.37E-07,1.1,0.01645
386,SIGLEC10,-0.662277407,1.45E-07,1.057,0.2122
387,APOL1,-0.93368214,1.47E-07,1.168,0.0009371
388,SHE,0.55710926,1.50E-07,0.7278,1.78E-08
389,THSD7A,0.854809577,1.51E-07,0.8412,0.0001862
390,OIP5,-0.503804253,1.51E-07,1.376,0.0000523
391,TMEM158,-0.983306982,1.53E-07,1.32,4.75E-10
392,ITGAE,-0.418099616,1.56E-07,1.931,5.60E-10
393,CCND1,0.588616732,1.57E-07,0.8575,0.002518
394,PNMT,1.40960925,1.58E-07,0.9607,0.2883
395,LTA,-0.804694152,1.58E-07,1.112,0.01622
396,MFI2-AS1,-0.807783324,1.63E-07,1.577,4.43E-14
397,KCNN4,-0.80101025,1.64E-07,1.421,3.82E-10
398,RP11-477H21.2,0.965692127,1.64E-07,0,0
399,TRAIP,-0.465108142,1.65E-07,1.877,1.97E-10
400,NPEPL1,-0.719691031,1.66E-07,1.56,7.75E-13
401,KIAA1328,0.469876397,1.67E-07,0.7608,0.002079
402,FBXO43,-0.726850719,1.69E-07,1.374,8.21E-07
403,LTF,1.50742585,1.70E-07,0.969,0.2507
404,RP11-333O1.1,0.784007308,1.72E-07,0,0
405,UBE2S,-0.590793937,1.73E-07,1.883,1.50E-14
406,PKMYT1,-0.666865402,1.74E-07,1.252,0.0000486
